 19 |               4 | sim_f8d2d64a-1b28-4fc2-af66-018e803b7ddb | Convocatoria para chequeo del FrontDev | 2019              |           4 |          6 | Circulación    |            3 | Agenda Cultural  |      14 | Áreas Integradas |          1 | SCC            |            4 | Beca             | f                | f              | Descripcion corta<span style="white-space:pre"> </span> | Objeto de la convocatoria | Peril del participante | Quien no puede participar | Derechos y deberes de los ganadores |             |                  | 2019-09-10 10:55:41.099 |                         | t              | 8fc74479-55de-4714-9352-5e3d1bb9ce1e |       0 |                                      | wavelogger01@gmail.com-172.17.8.238  |                         | 2019-09-10 10:55:41.213 | t
 20 |               4 | f7598748-0c9f-42a8-86f6-fe5aec36d35b     | Convocatoria para chequeo del FrontDev | 2019              |           4 |          6 | Circulación    |            3 | Agenda Cultural  |      14 | Áreas Integradas |          1 | SCC            |            4 | Beca             | f                | f              | Descripcion corta<span style="white-space:pre"> </span> | Objeto de la convocatoria | Peril del participante | Quien no puede participar | Derechos y deberes de los ganadores |             |                  | 2019-09-10 11:00:09.623 | 2019-09-10 11:04:15.95  | f              | d3486121-1670-47e4-938b-fe560167face |       0 | wavelogger01@gmail.com-172.17.8.238  | wavelogger01@gmail.com-172.17.8.238  | 2019-09-10 11:04:16.083 | 2019-09-10 11:00:10.34  | f
 22 |               4 | sim_02d093ea-145d-4c91-9628-236c75c36656 | Convocatoria para chequeo del FrontDev | 2019              |           4 |          6 | Circulación    |            3 | Agenda Cultural  |      14 | Áreas Integradas |          1 | SCC            |            4 | Beca             | f                | f              | Descripcion corta<span style="white-space:pre"> </span> | Objeto de la convocatoria | Peril del participante | Quien no puede participar | Derechos y deberes de los ganadores |             |                  | 2019-09-10 11:05:09.804 |                         | t              | 683f2ef1-a03a-4efe-b9bb-3f2e73b2a65b |       0 |                                      | wavelogger01@gmail.com-172.17.8.238  |                         | 2019-09-10 11:05:09.869 | t
 21 |               4 | f7598748-0c9f-42a8-86f6-fe5aec36d35b     | Convocatoria para chequeo del FrontDev | 2019              |           4 |          6 | Circulación    |            3 | Agenda Cultural  |      14 | Áreas Integradas |          1 | SCC            |            4 | Beca             | f                | f              | Descripcion corta<span style="white-space:pre"> </span> | Objeto de la convocatoria | Peril del participante | Quien no puede participar | Derechos y deberes de los ganadores |             |                  | 2019-09-10 11:04:15.95  | 2019-09-12 19:17:08.041 | f              | 959dec92-cb46-4c53-ab04-c8e998492bcb |       0 | wavelogger01@gmail.com-172.17.8.248  | wavelogger01@gmail.com-172.17.8.238  | 2019-09-12 19:17:08.498 | 2019-09-10 11:04:15.996 | f
 23 |               4 | f7598748-0c9f-42a8-86f6-fe5aec36d35b     | Convocatoria para chequeo del FrontDev | 2019              |           4 |          6 | Circulación    |            3 | Agenda Cultural  |      14 | Áreas Integradas |          1 | SCC            |            4 | Beca             | f                | f              | Descripcion corta<span style="white-space:pre"> </span> | Objeto de la convocatoria | Peril del participante | Quien no puede participar | Derechos y deberes de los ganadores |             |                  | 2019-09-12 19:17:08.041 | 2019-09-24 11:19:51.824 | f              | e1935049-61e3-4528-b3b6-c73496d425cb |       0 | wavelogger01@gmail.com-172.17.8.128  | wavelogger01@gmail.com-172.17.8.248  | 2019-09-24 11:19:52.983 | 2019-09-12 19:17:08.344 | f
 25 |               4 | sim_7b9aeb03-e00b-4c52-91db-a78490e81078 | Convocatoria para chequeo del FrontDev | 2019              |           4 |          6 | Circulación    |            3 | Agenda Cultural  |      14 | Áreas Integradas |          1 | SCC            |            4 | Beca             | f                | f              | Descripcion corta<span style="white-space:pre"> </span> | Objeto de la convocatoria | Peril del participante | Quien no puede participar | Derechos y deberes de los ganadores |             |                  | 2019-09-24 11:22:05.961 |                         | t              | bf1ce94d-18ec-4717-97ee-e190c08e4327 |       0 |                                      | wavelogger01@gmail.com-172.17.8.128  |                         | 2019-09-24 11:22:06.076 | t
 24 |               4 | f7598748-0c9f-42a8-86f6-fe5aec36d35b     | Convocatoria para chequeo del FrontDev | 2019              |           4 |          6 | Circulación    |            3 | Agenda Cultural  |      14 | Áreas Integradas |          1 | SCC            |            4 | Beca             | f                | f              | Descripcion corta<span style="white-space:pre"> </span> | Objeto de la convocatoria | Peril del participante | Quien no puede participar | Derechos y deberes de los ganadores |             |                  | 2019-09-24 11:19:51.824 | 2019-10-26 18:44:37.849 | f              | 7eeebe15-230f-49f9-a8a6-a048c1ba543a |       0 | wavelogger01@gmail.com-172.17.8.81   | wavelogger01@gmail.com-172.17.8.128  | 2019-10-26 18:44:38.069 | 2019-09-24 11:19:52.461 | f
 26 |               4 | f7598748-0c9f-42a8-86f6-fe5aec36d35b     | Convocatoria para chequeo del FrontDev | 2019              |           4 |          6 | Circulación    |            3 | Agenda Cultural  |      14 | Áreas Integradas |          1 | SCC            |            4 | Beca             | f                | f              | Descripcion corta<span style="white-space:pre"> </span> | Objeto de la convocatoria | Peril del participante | Quien no puede participar | Derechos y deberes de los ganadores |             |                  | 2019-10-26 18:44:37.849 | 2019-10-26 18:46:21.92  | f              | 05bf87d3-bee3-4447-a224-e8b33b742cb9 |       0 | wavelogger01@gmail.com-172.17.8.81   | wavelogger01@gmail.com-172.17.8.81   | 2019-10-26 18:46:22.04  | 2019-10-26 18:44:37.911 | f
 27 |               4 | f7598748-0c9f-42a8-86f6-fe5aec36d35b     | Convocatoria para chequeo del FrontDev | 2019              |           4 |          6 | Circulación    |            3 | Agenda Cultural  |      14 | Áreas Integradas |          1 | SCC            |            4 | Beca             | f                | f              | Descripcion corta<span style="white-space:pre"> </span> | Objeto de la convocatoria | Peril del participante | Quien no puede participar | Derechos y deberes de los ganadores |             |                  | 2019-10-26 18:46:21.92  | 2019-10-26 18:46:46.87  | f              | 9d852cf2-cdbc-4bc2-96c3-af8efafa471d |       0 | wavelogger01@gmail.com-172.17.8.81   | wavelogger01@gmail.com-172.17.8.81   | 2019-10-26 18:46:46.985 | 2019-10-26 18:46:21.968 | f
 28 |               4 | f7598748-0c9f-42a8-86f6-fe5aec36d35b     | Convocatoria para chequeo del FrontDev | 2019              |           4 |          6 | Circulación    |            3 | Agenda Cultural  |      14 | Áreas Integradas |          1 | SCC            |            4 | Beca             | f                | f              | Descripcion corta<span style="white-space:pre"> </span> | Objeto de la convocatoria | Peril del participante | Quien no puede participar | Derechos y deberes de los ganadores |             |                  | 2019-10-26 18:46:46.87  | 2019-10-26 19:20:32.026 | f              | 86c98dc5-9f3f-4716-8162-1cca4d17fde9 |       0 | wavelogger01@gmail.com-172.17.8.81   | wavelogger01@gmail.com-172.17.8.81   | 2019-10-26 19:20:32.127 | 2019-10-26 18:46:46.909 | f
 29 |               4 | f7598748-0c9f-42a8-86f6-fe5aec36d35b     | Convocatoria para chequeo del FrontDev | 2019              |           4 |          6 | Circulación    |            3 | Agenda Cultural  |      14 | Áreas Integradas |          1 | SCC            |            4 | Beca             | f                | f              | Descripcion corta<span style="white-space:pre"> </span> | Objeto de la convocatoria | Peril del participante | Quien no puede participar | Derechos y deberes de los ganadores |             |                  | 2019-10-26 19:20:32.026 | 2019-10-29 07:32:56.246 | f              | a12a13e9-b428-4c25-8444-a084847b2245 |       0 | wavelogger01@gmail.com-172.17.8.181  | wavelogger01@gmail.com-172.17.8.81   | 2019-10-29 07:32:56.341 | 2019-10-26 19:20:32.061 | f
